text,Label,Score
ray please help know i39ve writing videos it39s it39s important i39m trying get attention please help,1,0.9676905274391174
real golemsmivel,1,0.99396014213562
quotdo even fuck broquot needs everywhere,0,0.981314480304718
give shout friend ruth big fans,1,0.99983549118042
always thought bugs look like aliens,0,0.9916211366653442
may little late party exorcist begone demons,0,0.993034601211548
police using glock17,0,0.9760358929634094
2 videos outrage jk keep good workbr,1,0.9997001886367798
cat sounds like dog lo,0,0.995817482471466
jessie p sketch chucked money car window guy nerd,0,0.997260808944702
breed dog 2nd video,0,0.9968247413635254
didn39t realize early got,0,0.987169623374939
kangaroo genetic mutation called double muscle,0,0.979965329170227
squirrel made rofl hard,0,0.989079773426056
looks like roommate,1,0.9029141664505004
broscience parody p,0,0.8134018182754517
lmao kangaroo woow,0,0.9908047914505004
something wrong kangaroo,0,0.998116970062256
forgot midget still makes videos,0,0.9897645711898804
href mo,0,0.983742892742157
dat kangaroo making kindz gainz kindz,0,0.9630037546157836
always hide quotnutsquot laundry,0,0.9904035329818726
whoohoo arkansas,1,0.7156158685684204
hahahahahha href loled,0,0.996123731136322
669 videos know mean,0,0.9749414920806884
watching 2017,0,0.9885091185569764
flush toilet thing isnt funny anymore,0,0.9992175102233888
kangaroo penguins madagascar series,1,0.9713088870048524
6th video,1,0.9915183186531068
koala bears don39t make hop kangaroo39s pouch come fuck,0,0.931549906730652
love videos lose beard dont cover shayna punim p,0,0.9819813370704652
male kangeroos dont pouches p,0,0.6773213148117065
u even fuck bro,0,0.9923959970474244
shave beardbeardo,0,0.9810405373573304
cat impression tho,1,0.8559034466743469
australia obvious find,0,0.9962453246116638
ray shave,0,0.8623493909835815
laughed hard little squirrel dogs face,1,0.9794106483459472
really hoping quotkangaroo jack39dquot joke,0,0.9976227879524232
view getting days used get hours,0,0.9700847268104552
ray shi,1,0.9930247068405152
dat last joke,0,0.9957672357559204
appeared like really good time filming one maybe you39re getting hang keep,1,0.999039590358734
haha lol funny,1,0.999819815158844
hahaha always shiet thing end,0,0.9683675765991212
pet squirrel,0,0.9362287521362304
think officer took dude must first watched kangaroo video p lol,0,0.9934375882148744
facial hair gave cancer,0,0.9987541437149048
woot toot,0,0.9858763813972472
awesome,1,0.9998639822006226
u sure meth never seen anyone meth freak liek,0,0.9601548314094543
best rwj ever,1,0.999835968017578
would actually surprised game wardens deal aside standard fishing without permit,1,0.5829370617866516
looks like somebody missed leg day,0,0.9996007084846495
want youtube video reviews less pod castslike post,0,0.9991841912269592
bleeps lol,0,0.9951964020729064
ray make tshirt kangaroo put quotdo even lift broquot yes yes,0,0.9807366132736206
301,1,0.9982337951660156
75th,1,0.9994320273399352
kangroo tho x39d,0,0.973482310771942
yayaayayayay,1,0.644399881362915
href that39s funny ray,0,0.9996981620788574
cat noise though hahahahahaha,0,0.983794629573822
ray nutz,1,0.6258196234703064
href us,1,0.98856121301651
waitwhat happened ray bleeping swear words don39t virgin ears nice happened watching episodes kids around,0,0.992782711982727
nope benching wombats,0,0.8713625073432922
dog wasn39t apathetic scared shitless squirrels vicious predators nature,0,0.9935160875320436
used censor words like fuck like better without bleep ticks hes slowly giving less fucks show since last year,0,0.666549801826477
fuck funny,1,0.9941657781600952
funny thing kangaroo better shape half people watching,1,0.9974688291549684
laughed hard said even fuck bro lmao xd,0,0.8049049377441406
isnt kenguru tekken,0,0.99433571100235
yay,1,0.9140980839729308
liked deserve worthy likes,1,0.9998088479042052
feeling would show squirrel video,0,0.995184361934662
quot6 videosquot,0,0.9953752756118774
year bring back right nowbr,1,0.9972098469734192
put vines,1,0.5572130084037781
kangaroo must munchin protein,0,0.9942295551300048
live computer file called blockstationand im made blocks,0,0.9987786412239076
i39m reading comments one talking meth head reason face freaked,0,0.9993798732757568
want pet squirrel,0,0.9969831109046936
guy last vid looks like kong halvor,0,0.9868355989456176
kangaroo eat kababs,0,0.9446797370910645
eh dog39s named spot,0,0.9188726544380188
i39ve got giveaway channel x,1,0.9699674248695374
live arkansas 00,0,0.8674852252006531
wtf wrong people beard bet comment u cannot even grow beard really wtf beard he39s fucking life people u cannot tell he39s life,0,0.9996259212493896
fuck jaw shave man,0,0.9981984496116638
don39t mess roo39s,0,0.9841911792755128
kangaroos 6 feet tall well would scared see,0,0.8131737112998962
1 comment,1,0.836641252040863
week make money people,0,0.947216272354126
dub squirrel video,0,0.9989357590675354
feel really bad meth head looks camera think peaceful soul,0,0.988508403301239
moment href,0,0.9677533507347108
href xd,0,0.9841744303703308
make kangaroo jack joke saying jacked,0,0.9956771731376648
seems like kangaroo quotrappingquot showing quotmusclequot lol,0,0.9897337555885316
thats male kangaroos end looking like anyway tbh,0,0.9241691827774048
funny omg,1,0.999816358089447
like anna fluffer,1,0.9980849027633668
151th omgbrno one cares,0,0.9994351267814636
4 cats get lonely,0,0.9891669750213624
hey huge follower would like could give shout venezuela everything happening media closed saying showing truth need international media influential people show us support rihanna gave us shout please help us let people around world know happening country students appreciate,1,0.9991137385368348
hey ray 39koalaquotnot koala bear,0,0.990523874759674
lol arkansas game fish i39m pretty sure i39ve highway that39s another day,0,0.9936487078666688
russia max 100500,1,0.9970768690109252
don39t question day,0,0.9986263513565063
sometimes like hide nuts laundry basket mum gets bit surprise goes wash clothes though,0,0.5559120178222656
quotbury nut inside dogs furquot,0,0.9905381202697754
kangaroo39s condition could caused mutation doesn39t look normal know many cows bread doublemuscle syndrome,0,0.999611794948578
wow can39t believe guy39s still unfunny videos getting away huge pile money process,0,0.9988025426864624
guy get caught policehe meth user,0,0.976423680782318
finalely,1,0.9071009159088136
reason feel bad man shamed publicly camera also keeps cops line,1,0.9968758821487428
oh shbb,1,0.6249602437019348
wise man said don39t give fuck you39re saying don39t give fuck,0,0.9851470589637756
y39all watching 2018,0,0.8751879930496216
don39t even call man cop cops deserve respect doubt needed muscle training jion fish club instead using gun civilians use,0,0.9972659349441528
fluffer credits,0,0.9994494318962096
remembered dont censor vids anymore,0,0.9914950132369996
watch happy birthday brendon creepy,1,0.999242663383484
wow ray i39ve long time watcher 2 12 years wow you39re channel grown much you39re reason started channel used make happy thursday tuesday decided quothey come backquot fantastic memories coming back great laughs great jokes remember quotproject runawayquot directer wow thanks ray great laughs fantastic videos lt3,1,0.9998119473457336
219th,1,0.9734990000724792
lolz gotta see buff kangaroo vide,0,0.636344850063324
href hekangaroo jacked get,0,0.9967923760414124
supposed funnybrbr,0,0.999242067337036
hahahaha funny ray ur jokes still suc,0,0.9997652173042296
four cats that39s,0,0.96690171957016
anyone else hear fart ray flexes,0,0.9907069206237792
thats red kangeroo,0,0.923867404460907
dog made think dying dog cousinbrbrbrbri39m sad,0,0.9039472341537476
ironic part im watching breaking bad,0,0.9934213757514954
hiding nuts huhuhuhuuh,0,0.99545019865036
ray make 3 videos week like use 1 minute video39s st like 6 7 minutes video long cbrlove video39s ray,1,0.97797292470932
ahcute squirlyheartsuit,1,0.9962416887283324
can39t put price smegma,0,0.9976588487625122
love,1,0.9998656511306764
ray making new show youtube made recap 3 videos like one won39t forget fucking kangoroo,0,0.9811485409736632
kangaroo jacked,0,0.98855060338974
80th person,1,0.9966801404953004
subscribe sub back,1,0.5101425647735596
one great laughed lot quotthis probably cell matequot comment,1,0.9996065497398376
awesome like game xd,1,0.9998642206192015
fuck shaving february,0,0.9950785636901855
108th,1,0.9979773163795472
href href,0,0.9919301867485046
anyone realise wil taller go gym tell,0,0.5629832744598389
god wish 3 would last longer,0,0.997171938419342
bkoala bearsbbrin australia call koalas,1,0.6329636573791504
kangaroo jack steriods,0,0.934308648109436
best,1,0.9998332262039183
video used schools teach young happens get high shiti bet drugs market collapse,0,0.9997748732566832
epic meow,1,0.9996331930160522
kangaroo something called myostatin deficiency myostatin protein inhibits growth muscle individuals animals lack protein literally build muscle top muscle first time saw example thought photoshopped,0,0.9980964064598083
flex zone,0,0.8311027884483337
first boha,0,0.9658380746841432
best video ray,1,0.9997102618217468
guys scream got car,0,0.9932574033737184
almost first,1,0.9907826781272888
know little guns know one officer holding looks like glock halflife,0,0.9991969466209412
eyes,1,0.9965971112251282
said quoti nutting sayquot href,0,0.9922675490379332
u say gaymen fish commision,0,0.9981585144996644
best video ever laughed,1,0.9997994303703308
6e vid,0,0.8113082647323608
can39t second thoughts something you39ve already done,0,0.9800924062728882
hey rayner squid,1,0.9809991121292114
live arkansas,1,0.866658091545105
rwj you39re fun lt3,1,0.6290165781974792
hate animals hate mom,0,0.6234451532363892
hiding nuts joke,0,0.999088168144226
seriously needs continue equals three end wtf,0,0.989356815814972
dat kangaroo looks like roger jr tekken,0,0.9908872842788696
smeagle,0,0.9978684186935424
need shave bro,0,0.991555631160736
super kangaroo jacked,0,0.9905241131782532
still gitting even hilarious,1,0.9998377561569214
kangaroo 2d legs lol,0,0.9443288445472716
kangaroo something,0,0.5427490472793579
binge watching,0,0.9487048983573914
quotyou know fucks give yea well buried backyardquot lml,0,0.9976025223731996
yeah come australia kangaroos make bitchbr,0,0.7843677401542664
46,1,0.9369895458221436
one hilarious ray keep good jokes,1,0.9998190999031068
4 cats seriously dude,0,0.9603808522224426
great episode ray laughed ass keep good work brgreetings poland,1,0.9998394250869752
someone send sir fedora,0,0.8968471884727478
grinningfacewithsmilingeyes,0,0.6970565319061279
href,0,0.9973445534706116
think kangaroo roids,0,0.9839808344841005
feel bad guy,0,0.9996873140335084
rwj really phoned one lol,0,0.9821848273277284
ray satanic 6 videos,0,0.9826263189315796
one knocks,0,0.7996229529380798
four cats,1,0.9690380692481996
kangaroo gainz,1,0.9460328817367554
one best videos long time keep ray,1,0.9998548030853271
arkansas they39ll f,1,0.9995681643486024
ending soon wtf,0,0.9983093738555908
fuck 301 views i39ll never 300 club,0,0.9934646487236024
aussie power,1,0.9996274709701538
12,1,0.7370908856391907
beard suits,1,0.999717652797699
thinks raywilliamjohnson39s profile pic looks like meme pic,0,0.995640516281128
ray review papa john39s cheeseburger pizza commercial,0,0.6176893711090088
6 video,0,0.878147542476654
koalas aren39t bear fuck saying,0,0.98816978931427
think cop camera required places,0,0.99606591463089
plz don39t quit youtube videos ray i39m sure didn39t mean tweet wanted end series plz stay 39,0,0.9905070066452026
die menschen zum lachen bringen ist super,1,0.9099273085594176
kolas aren39t bears,0,0.9721419215202332
lol,0,0.9438178539276124
ray male kangaroo39s dont pouches hahahaha,0,0.9367178678512572
bearded rey way funnier facial harred rey,1,0.9903563857078552
tried cat sound made cow moo,0,0.9989475607872008
it39s kangaroo jack,0,0.9037794470787048
hiding nuts laundry basket lololololololo,0,0.9956560134887696
want kangaroo pet,0,0.984259307384491
ray aren39t ya youtube rewind,0,0.999006688594818
beard scary would much appreciated whole entire world shaved please,0,0.9856163263320924
great episode squirrel cutebrsaludos desde espaa,1,0.9997310042381288
review quoton floorquot icejjfish,0,0.9859609603881836
quotdo even fuck broquot hahahaha,0,0.9936102032661438
equals three chhit come dude,0,0.7007516622543335
butt pug,0,0.9953963160514832
href,0,0.9827619194984436
made giggle,1,0.999584972858429
guess say squirrel nutted bitch,0,0.9734740853309632
kangaroo didnt even look normal see way flexing muscles play bro,0,0.9807357788085938
u know fucks give well buried em back yard lol,0,0.9984135627746582
ray william check dana ohara big booty bitches great check,1,0.9994427561759948
video number 6 obama letter coincidence think,0,0.9945676326751708
approve message lol even know bra,1,0.9989055395126344
hilarious loved,1,0.9998883008956908
someone39s liftin,1,0.8856313228607178
ok 1 video 2 videoand,1,0.6104053854942322
shame ur thinking stoppin ray makes laugh every time,1,0.983345627784729
href lol,0,0.9924692511558532
make 539s,0,0.9663662314414978
love channel don39t know something bleeping curse words makes respect ray little lesslike succumbed pressure hey gotta gotta,1,0.99164479970932
quottrying bury nutquot something sexual can39t put finger,0,0.9983343482017516
really hate say ray get like 50 views one day unlike days stats disabled kinda suspecting view bots lt,0,0.9994786381721495
669 videos i39m caught i39ve watched 6,1,0.9970954656600952
dat cop video,0,0.9942654967308044
send clip ray,0,0.9988079071044922
first,1,0.9987308382987976
he39s kangaroo jacked,0,0.986652672290802
aww dog 3,0,0.9959237575531006
href sounds like evil wizard gundarr39s episodes ahahahaha,0,0.9894086122512816
use funnier,1,0.9936496615409852
hey guys like blogs fun come check blog started friendquotstop spamquot might say want people share thoughts post want people hear us would great went checked thanks thatbloogdoea href replace dot,1,0.97898530960083
kangaroo disease common dogs also happens animals like kangaroo,0,0.9689555764198304
even 4 cats,0,0.854931116104126
fuck sake don39t end show please u one youtubers still actually funny,0,0.9967045187950134
female kangoorusor ever way u spell pouches,0,0.9826384782791138
best comments end,1,0.9858350157737732
best cat impression ever xd,1,0.9994072914123536
third one looks like joker camera man especially end,0,0.994049310684204
best ever least,1,0.9995781779289246
oh arkansas xd we39re bunch methheads,0,0.9960982799530028
aww squirell,0,0.9537517428398132
woo,1,0.990616500377655
lol live arkansas,0,0.5224977135658264
video halarious keep thing ray,0,0.9850283861160278
retire already,0,0.9984563589096068
offence funny anymore girlfriends still hot,0,0.9911905527114868
game warden one hardcore jesus,0,0.993852972984314
iv done meth pretty much like adhd medicine pretty suttle,0,0.9961081147193908
it39s koalas koala bears ffs americans told throughout 9039s steve erwin teach still get wrong aren39t bears,0,0.9980887770652772
he39s pretty normal kangaroo bigger ones bigger muscles,1,0.9891335368156432
ray awesome inspired deeply sad 3 run really don39t like spam recently got new camera audio mic made video called quotmega dellquot wondering could view give feedback project would help much future videos thank much,1,0.9987708926200868
ray crazy cat bitch,0,0.9962843060493468
make cat lady,1,0.6482300758361816
remember seeing arrest happen funny seeing,1,0.9985443353652954
kanguroo roids man,0,0.5920725464820862
koala bear attached name koala39s marsupial sub group animals mammal family fyi male kangaroos actually box one stupid enough get close boxing joke would appropriate side note tastebrnice,1,0.9835214614868164
58th comment,1,0.9062682390213012
dog burnese mountain peacful spacily raised,0,0.98885577917099
hey ray little bit midlife crisis face,1,0.8090223073959351
guess could say he39skangaroo jacked,0,0.99724018573761
last clip suspect reported armed dangerous that39s cop responded way,0,0.9889768958091736
fritos sub,0,0.990131974220276
still going stop making get views videos,0,0.9994003772735596
squirrel within inches good hiding hole,0,0.978455364704132
happy 669th video,1,0.9998573064804076
considering fact live arkansas i39m surprised comes last video,0,0.9892314076423644
lol i39ve got dog it39s called bernese mountain dog,0,0.994249939918518
wtf happen many f word,0,0.998033344745636
holy motha kangaroo,0,0.9493297338485718
i39m kinda surprised cop didn39t shoot,1,0.9594216346740724
weird said arkansas game fish committee whatever organization big thing northwest arkansas live,0,0.998792290687561
gotta hide nut,0,0.9942123293876648
href best boy electric darth vaderbrps where39s catt lauer,0,0.6298291087150574
understand australian wildlife dangerous rest world,0,0.9833367466926576
ray retiring 3,0,0.9968763589859008
australia39s kangaroos,1,0.9131946563720704
dying video,0,0.9974263310432434
god bless murica last vid,1,0.9993865489959716
kangaroobalotelli,0,0.9598269462585448
kangeroo son,1,0.9910619258880616
video 6,0,0.791444718837738
07 fart sound,0,0.9997606873512268
ray definitely made joke squirrel burying nut tweaker39s ass,0,0.9985767602920532
kangaroo jacked,0,0.9973809123039246
hay ray want start show like urs tips also recommend making video start making show props u ur guest host ur idole,1,0.774941623210907
even fuck bro lol,0,0.9850267767906188
ahah love video laught xd,1,0.9996895790100098
great episode,1,0.9998549222946168
href brwatch stream haunted memories scary game,1,0.8103228211402893
try get funny videos reybr,0,0.9974690675735474
kangaroo words quotdo even fuck broquot tshirt life complete,0,0.9710392355918884
dog looks seriously confused lol,0,0.9987236857414246
he39s backbr,0,0.6482241153717041
cool shiet,1,0.9998533725738524
quotdo even fuck brahquot sorry cracked,0,0.999200403690338
74th comment,1,0.9526686072349548
ray don39t like adds got corona beer ads win friends,1,0.9997900128364564
kangaroo definately steriods,0,0.973440647125244
live arkansas,0,0.9885956645011902
oh vader got new work,1,0.9994242191314696
href omg dying,0,0.9987282156944276
love ending shiyett,1,0.9998437166213988
koala39s aren39t bears,0,0.9735243320465088
awesome ray havent watched one year got lot funnier bleep bad words anymore,1,0.9980899691581726
dare ray dare get rid show it39s damn funny look terror methhead39s face absolutely priceless can39t make shit brbryou39re best 3 missed,1,0.5514227747917175
hm,0,0.9940614104270936
brobrshave,0,0.9637448787689208
hahahah quotstop fucker stopquot,0,0.9991334080696106
4 cats quotcat hair lonely people glitterquot,0,0.9906601309776306
ray could help people ue promotion petitionbra href,0,0.9813303351402284
lucky state arkansas must dedicated officer field cathing poachers unlicensed fishermen seriously woman hardcore,0,0.9897465705871582
4 cats,1,0.9969013929367064
yay arkansas live know abut cop right one shot yes ok,0,0.995225191116333
best episode,1,0.9993925094604492
mobile says ray 6 videos,0,0.9879361391067504
squirrel xd,0,0.8291239142417908
oh god it39s like kangaroos steriods take steriods,0,0.9824568033218384
really dont want show end,0,0.9984511137008668
ah read week kangaroo39s really flex attract mate guy probably scores plenty,1,0.9971702694892884
y39know ray something stylish don39t let go caveman shave damn beard,1,0.8693468570709229
squirrel hides nut dogs butt saw original,0,0.9996336698532104
watch cat video,0,0.9753477573394777
pet squirell abandoned baby classed vermin rspca wouldnt take inbrbrour squiz 39cyril39 also liked bury nuts everywhere one day even stepdads armpits,0,0.9939992427825928
subscribe ill subscribe back,0,0.999242067337036
kangaroo roids much,0,0.9752823114395142
dat squirrel,0,0.9844362735748292
ya gonna youtube die,0,0.9772497415542604
australia biatchbr,0,0.9729174375534058
291 viewer,1,0.939960479736328
cop brutal,0,0.9878756403923036
6 videos wtf,0,0.9118327498435974
shave fbb beard,0,0.9816469550132751
love thumbsupthumbsupthumbsupthumbsupcatwithtearsofjoy,1,0.9998791217803956
6 vid 00,0,0.9820382595062256
dance,1,0.9988874793052672
facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyloudlycryingfaceloudlycryingfacefacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy,0,0.6970565319061279
whos watching 2001,1,0.9969611763954164
expecting smelly nuts joke due squirel hidings nuts laundry basket,0,0.998474895954132
omg 4 cats wonder crazy,1,0.9902335405349731
whos watching 2017 like,0,0.9586553573608398
cover one eminems albums you39re wall paper,0,0.9933547973632812
yes willus,1,0.9996614456176758
bambr,1,0.9507887959480286
darth vader xd,1,0.9823585152626038
think first video cgi,0,0.9913771152496338
fuck honestly i39m going miss watching ur videos day u quit making ray i39ve subscribed u 4 years good memories n many laughs old chap,0,0.986549437046051
href lol,0,0.9952822327613832
dogs name realy spot,1,0.9223155975341796
100th like,1,0.9893934726715088
huge kangarooflexedbicepsdarkskintoneflexedbicepsdarkskintoneflexedbicepsdarkskintoneflexedbicepsdarkskintoneflexedbicepsdarkskintoneflexedbicepsdarkskintoneflexedbicepsdarkskintoneflexedbicepsdarkskintoneflexedbicepsdarkskintoneflexedbicepsdarkskintoneflexedbicepsdarkskintoneflexedbicepsdarkskintoneflexedbicepsdarkskintoneflexedbicepsdarkskintoneflexedbicepsdarkskintoneflexedbicepsdarkskintoneflexedbicepsdarkskintoneoncomingfistdarkskintoneoncomingfistdarkskintoneoncomingfistdarkskintoneoncomingfistdarkskintoneoncomingfistdarkskintoneoncomingfistdarkskintoneoncomingfistdarkskintoneoncomingfistdarkskintoneoncomingfistdarkskintoneflexedbicepsdarkskintoneflexedbicepsdarkskintoneflexedbicepsdarkskintoneflexedbicepsdarkskintoneflexedbicepsdarkskintoneflexedbicepsdarkskintoneflexedbicepsdarkskintoneflexedbicepsdarkskintoneneutralface,1,0.9980789422988892
know i39m going take high road make joke smuggling meth fish,0,0.9848006963729858
href face omfg can39t facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyOKhandwavinghand,0,0.9845640659332277
39 2017,1,0.9399722814559937
yep 100 fart hahahaha,0,0.9864975810050964
dude post video one one stop showing it39s embarrassing you39re funny,0,0.9997583031654358
shave damn 192039s pubic bush face man child,0,0.9863209128379822
third video killed xdd towards end,0,0.9974095225334167
briike comment heard fart href xd,0,0.9978702068328856
almost want cherish videos last year thisalmost loljk,1,0.9974576830863952
america would see policeman like,1,0.7808488011360168
squrrell great great great grandson guy ice age,1,0.9978945851325988
dogs face like wtf squirrel,0,0.9976270794868468
ever smoked bagpipe,0,0.9540675282478333
awe squirrel video,1,0.9646309018135072
ray hope congress gets better d39,0,0.9864837527275084
end squirrel video theres ghost cuz see dot move,0,0.9864248037338256
yeah fck arkansas fishing hunting cops,1,0.9511175751686096
r censors,0,0.9974773526191713
damn kangaroo jacked puns aside,0,0.9986849427223206
ur shows finally get better better normalle good long timeand u gonne quit,0,0.998790681362152
live arkansas,1,0.9989427924156188
116th,1,0.9972915053367616
episode lame,0,0.9997929930686952
bring back yourfavoritemartian,0,0.8219312429428101
first comment oh wait bet ray got hots kangaroo,1,0.9271117448806764
cop video made think first person shooters,1,0.768991231918335
16,1,0.9878718852996826
one cares youre 79th 100th get hobby,0,0.9997183680534364
669 videos heh,0,0.9854972958564758
13th listen screw want legit chain acually click newest comment say number,0,0.9916836023330688
href 3939hes alien3939,0,0.9738983511924744
meth head tom cruise,0,0.9906558394432068
lol bench pressing koala bears,0,0.9845222234725952
kinda hoping kangaroo jack joke,0,0.9951342940330504
great videos dude,1,0.9998642206192015
39roo fuckin39 jacked,0,0.9986636638641356
best cat impression,1,0.9997627139091492
ray disappoint 2 reviewsvideos,0,0.9879330992698668
anybody else notice put darth vader credits,0,0.9827871322631836
makes proud arky,1,0.999852180480957
