,text,Label,Score
32,dosent ray review gangnam style,POSITIVE,0.5847205519676208
33,href mo,NEGATIVE,0.983742892742157
34,href squirrel trying bury it39s nut dog sperm,NEGATIVE,0.9948832988739014
35,always hide nuts laundry basket,NEGATIVE,0.9826180338859558
36,good dayz,POSITIVE,0.9998608827590942
37,quotbury nut inside dogs furquot,NEGATIVE,0.9905381202697754
38,fun factbrbuff kangaroo39s flex front female kangaroo39s impress,POSITIVE,0.9997768998146056
39,rayby come backbrwe blame carlosbri39ll get without seeing kajabrdu du du dududu,NEGATIVE,0.9959476590156556
40,still watching,POSITIVE,0.9948297142982484
41,ya haha,NEGATIVE,0.6106148362159729
42,17 november 2016,POSITIVE,0.9927219748497008
43,i39m still wow,POSITIVE,0.9995205402374268
44,what39s happening forum,POSITIVE,0.9955801367759703
45,remember google glass popular facewithtearsofjoyfacewithtearsofjoy,POSITIVE,0.5267885327339172
46,roger jr,NEGATIVE,0.9650877118110656
47,want ray back,NEGATIVE,0.9816655516624452
48,cop vid gameplay battlefield hard line,NEGATIVE,0.971547782421112
49,4 god damn cats wow,POSITIVE,0.998443067073822
50,u know fucks give well buried em back yard lol,NEGATIVE,0.9984135627746582
51,tried hide nuts dog one time,NEGATIVE,0.9994632601737976
52,href furry39s wet dream,NEGATIVE,0.9823654294013976
53,anybody else notice put darth vader credits,NEGATIVE,0.9827871322631836
54,meth head part sounds like horror movie camera starts getting shaky audio start getting distorted,NEGATIVE,0.9996556043624878
55,facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyloudlycryingfaceloudlycryingfacefacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy,NEGATIVE,0.6970565319061279
56,anyone 2016,NEGATIVE,0.9933589100837708
57,feel really bad meth head looks camera think peaceful soul,NEGATIVE,0.988508403301239
58,even,NEGATIVE,0.9922663569450378
59,href reaction see hear something kardashian family,NEGATIVE,0.7156094312667847
60,love u raybri mean homosexual way possible,POSITIVE,0.9979903697967528
61,year bring back right nowbr,POSITIVE,0.9972098469734192
62,pretty much lot weed,POSITIVE,0.9807406067848206
63,huge kangarooflexedbicepsdarkskintoneflexedbicepsdarkskintoneflexedbicepsdarkskintoneflexedbicepsdarkskintoneflexedbicepsdarkskintoneflexedbicepsdarkskintoneflexedbicepsdarkskintoneflexedbicepsdarkskintoneflexedbicepsdarkskintoneflexedbicepsdarkskintoneflexedbicepsdarkskintoneflexedbicepsdarkskintoneflexedbicepsdarkskintoneflexedbicepsdarkskintoneflexedbicepsdarkskintoneflexedbicepsdarkskintoneflexedbicepsdarkskintoneoncomingfistdarkskintoneoncomingfistdarkskintoneoncomingfistdarkskintoneoncomingfistdarkskintoneoncomingfistdarkskintoneoncomingfistdarkskintoneoncomingfistdarkskintoneoncomingfistdarkskintoneoncomingfistdarkskintoneflexedbicepsdarkskintoneflexedbicepsdarkskintoneflexedbicepsdarkskintoneflexedbicepsdarkskintoneflexedbicepsdarkskintoneflexedbicepsdarkskintoneflexedbicepsdarkskintoneflexedbicepsdarkskintoneneutralface,POSITIVE,0.9980789422988892
64,href,NEGATIVE,0.9827619194984436
65,show good twaimz xd,POSITIVE,0.9997227787971495
66,even fuck bruh,NEGATIVE,0.99614679813385
67,,NEGATIVE,0.7939674854278564
68,dogs like what39s back brsquirrel deez nutz,NEGATIVE,0.8109660148620605
69,even fuck brah,NEGATIVE,0.9961583018302916
70,hey ray know say guys 4 cats grinningface,POSITIVE,0.9971804618835448
71,broscience parody p,NEGATIVE,0.8134018182754517
72,waitwhat happened ray bleeping swear words don39t virgin ears nice happened watching episodes kids around,NEGATIVE,0.992782711982727
73,squirrel slaps adorable,POSITIVE,0.9998119473457336
74,pet squirell abandoned baby classed vermin rspca wouldnt take inbrbrour squiz 39cyril39 also liked bury nuts everywhere one day even stepdads armpits,NEGATIVE,0.9939992427825928
75,im one dose ray william maraton,NEGATIVE,0.9922621250152588
76,game warden one hardcore jesus,NEGATIVE,0.993852972984314
77,deez nuts,POSITIVE,0.5115334391593933
78,dont approve message never btw need hide nuts,NEGATIVE,0.9994969367980956
79,meth head last video looks like tommy gun gunvsgun,NEGATIVE,0.9959828853607178
80,lol,NEGATIVE,0.9438178539276124
81,koala bears,NEGATIVE,0.9960875511169434
82,dog burnese mountain peacful spacily raised,NEGATIVE,0.98885577917099
83,cat thing rollin xd,POSITIVE,0.9674969911575316
84,href hilarious xd,POSITIVE,0.9874268770217896
85,ray deep english accent sexuality would deeply disturbed,NEGATIVE,0.997611165046692
86,squrriel hid nuts loundry lol,NEGATIVE,0.9980712532997132
87,kangoroos flex intimidate kangoroo males mate it39s natural thing,POSITIVE,0.997970163822174
88,ray crazy cat bitch,NEGATIVE,0.9962843060493468
89,quottrying bury nutquot something sexual can39t put finger,NEGATIVE,0.9983343482017516
90,glock 18,POSITIVE,0.8110187649726868
91,fuck cops,NEGATIVE,0.9898939728736876
92,quit made popular,NEGATIVE,0.999178111553192
93,australia ancient people land call quotturkey sausagequot,NEGATIVE,0.983551561832428
94,haha,POSITIVE,0.7155452966690063
95,man he39s kangaroo jacked,NEGATIVE,0.989310383796692
96,kangaroos tend flex females around,POSITIVE,0.890834391117096
97,i39m kinda surprised cop didn39t shoot,POSITIVE,0.9594216346740724
98,australia biatchbr,NEGATIVE,0.9729174375534058
99,laughed hard little squirrel dogs face,POSITIVE,0.9794106483459472
100,three cat39s,POSITIVE,0.9794562458992004
101,dat pose doe,NEGATIVE,0.9764212965965272
102,real jesse pinkman omfgfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy hahahahaha love jesse fcking funnyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy,POSITIVE,0.6638475060462952
103,quotthe officerquot,NEGATIVE,0.983037531375885
104,flex zone,NEGATIVE,0.8311027884483337
105,live arkansas,POSITIVE,0.866658091545105
106,oh look 3 good,POSITIVE,0.9993402361869812
107,don39t make fun arkansas i39m arkansas,NEGATIVE,0.987018585205078
108,hate much aussies life bro,NEGATIVE,0.981460988521576
109,binge watching,NEGATIVE,0.9487048983573914
110,feel bad guy thoughlike terrified scared felt bad,NEGATIVE,0.999724805355072
111,marathon 3 videos,NEGATIVE,0.992592751979828
112,realised called 3 pomf,NEGATIVE,0.9974894523620604
113,lol even fuck bro hahaha,NEGATIVE,0.9917622804641724
114,bra href dat stare doe,NEGATIVE,0.9955509901046752
115,dude arkansas game fish crazy seriously grew,POSITIVE,0.9968428611755372
116,hood know right,POSITIVE,0.9991939663887024
117,yayayayayayayat,POSITIVE,0.9456698894500732
118,omg cat quotmrquot got x39d,NEGATIVE,0.9720627665519714
119,dude breaking bad picture drawing done artist ellewills instagram she39s good artist,POSITIVE,0.9826328754425048
120,kangaroo tho,NEGATIVE,0.9628301858901978
121,07 fart sound,NEGATIVE,0.9997606873512268
122,isn39t physically impossible kangaroo walk hind legs,NEGATIVE,0.9753537774086
123,cute bernese mountain dog,POSITIVE,0.9990671277046204
124,four cats,POSITIVE,0.9885016679763794
125,even fuck bro,NEGATIVE,0.9936931133270264
126,waiting someone come say quoti meth i39m offendedquot,NEGATIVE,0.995855987071991
127,ive never seen kangaroo buff jeez,NEGATIVE,0.5215253233909607
128,heard fart href,NEGATIVE,0.9936518669128418
129,wow much swearing,POSITIVE,0.8686638474464417
130,love cat imitation,POSITIVE,0.9978936314582824
131,dance,POSITIVE,0.9988874793052672
132,look alright four cats see squirrel they39re like bevil cat meowb died laughter,NEGATIVE,0.975425899028778
133,fish police fish police ever fish police deos,NEGATIVE,0.9932191967964172
134,super kangaroo steroids,POSITIVE,0.9771561622619628
135,wtf sqirull,NEGATIVE,0.9810139536857604
136,welcome australia kangaroo normal p,POSITIVE,0.9990136623382568
137,man hot,POSITIVE,0.9018888473510742
138,hide nuts laundry basket,NEGATIVE,0.9962691068649292
139,good times,POSITIVE,0.9998716115951538
140,arguably one funniest videos hahaha,POSITIVE,0.9998020529747008
141,kangaroo like quotyeah work outquot,NEGATIVE,0.989593267440796
142,anyone else hear fart ray flexes,NEGATIVE,0.9907069206237792
143,kangaroo wearing costume,POSITIVE,0.9726118445396424
144,love,POSITIVE,0.9998656511306764
145,using fertilize grass steroids,NEGATIVE,0.9991255402565002
146,href dog looks dog lol xd,NEGATIVE,0.9934555888175964
147,guess could say he39skangaroo jacked,NEGATIVE,0.99724018573761
148,koala bears don39t make hop kangaroo39s pouch come fuck,NEGATIVE,0.931549906730652
149,hiding nuts huhuhuhuuh,NEGATIVE,0.99545019865036
150,personally like hide nuts dogs smell afterwards reason,NEGATIVE,0.989792823791504
151,super funny 904,POSITIVE,0.99372535943985
152,nan,POSITIVE,0.7481210231781006
153,one word kangaroobrsteroids,NEGATIVE,0.989487648010254
154,posted birthday beamingfacewithsmilingeyessmilingfacewithsmilingeyes,NEGATIVE,0.538957417011261
155,unce,NEGATIVE,0.9900748133659364
156,kangaroo jacked,NEGATIVE,0.98643559217453
157,aww dog 3,NEGATIVE,0.9959237575531006
158,href omfg cant stop laughing,NEGATIVE,0.992384433746338
159,meth guy looks like creepy dude videofrom smos called smosh dead,NEGATIVE,0.9996403455734252
160,even fuck bro,NEGATIVE,0.9936931133270264
161,fuck,NEGATIVE,0.9924936294555664
162,look like billy mays,POSITIVE,0.9964073300361632
163,dog made think dying dog cousinbrbrbrbri39m sad,NEGATIVE,0.9039472341537476
164,rays first 3 video called,NEGATIVE,0.9976813793182372
165,rays first 3 video called,NEGATIVE,0.9976813793182372
166,beerd sexy,POSITIVE,0.9997803568840028
167,ray inspired make youtube videos make videos similar 3 it39s called videos within videos it39s chanel ray one awesome dude never failed make laugh dnt h8 plx,POSITIVE,0.9983848333358764
168,dat crack head doe,NEGATIVE,0.9904584884643556
169,4 cats lol,NEGATIVE,0.929564356803894
170,,NEGATIVE,0.9936370849609376
171,think thailand lives usa,NEGATIVE,0.9675840139389038
172,third video looks like video game,NEGATIVE,0.9943851232528688
173,,POSITIVE,0.8513970971107483
174,didn39t know kangaroos came black want one,POSITIVE,0.7122291922569275
175,man cat sound href i39m pretty sure laughed x,POSITIVE,0.8323661088943481
176,best cat impersination ever,POSITIVE,0.9986427426338196
177,tobuscus first video,NEGATIVE,0.9978750944137572
178,serious talent man facebook randomly clicked name saw one videos directed oh god best directing ever seen indie video ever keep man serious skill respect,POSITIVE,0.9997866749763488
179,video kangaroo roids like one characters video game overgrowthbr,NEGATIVE,0.9984588623046876
180,,POSITIVE,0.904299259185791
181,3,NEGATIVE,0.9927154183387756
182,one thing say one thing onlydon39t fuck arkansas game amp fish commission,NEGATIVE,0.99232679605484
183,jesus christ squirrel adorable,POSITIVE,0.991203546524048
184,roger tekken,POSITIVE,0.9896937012672424
185,laughed hard cat part sound like ahah,NEGATIVE,0.8568049669265747
186,pretended flex biceps put thumb,NEGATIVE,0.9974984526634216
187,like 2 years since watch videos yet still thats like videos much keepin real thing change full beard,NEGATIVE,0.7365029454231262
188,even fuck bro,NEGATIVE,0.9936931133270264
189,kangaroo goes ham daily,NEGATIVE,0.987667441368103
190,obama dog sayin39,NEGATIVE,0.90333354473114
191,href i39m longer alive xd,NEGATIVE,0.9993847608566284
192,think kangaroo roids,NEGATIVE,0.9839808344841005
193,emerged i39m arkansasbr,POSITIVE,0.6455155611038208
194,doesn39t hide nuts laundry basket,NEGATIVE,0.996516227722168
195,end coming 3,POSITIVE,0.982262372970581
196,4 cats xd fail,NEGATIVE,0.9996235370635986
197,mer,NEGATIVE,0.9764229655265808
198,dogs name realy spot,POSITIVE,0.9223155975341796
199,comedy ah,NEGATIVE,0.6077004075050354
200,oh shbb,POSITIVE,0.6249602437019348
201,pause href,NEGATIVE,0.9922046661376952
202,quotyou check exhibits therequot,NEGATIVE,0.8669975399971008
203,wait four cats four crazy cat man,NEGATIVE,0.9970335960388184
204,person owns squirrel freinds aunt xd,NEGATIVE,0.8917626738548279
205,hey u know something reason kangroo ripped every single one ripped like u see r standing go google images type ripped kangroos 100x worse,NEGATIVE,0.999419331550598
206,ray awesome inspired deeply sad 3 run really don39t like spam recently got new camera audio mic made video called quotmega dellquot wondering could view give feedback project would help much future videos thank much,POSITIVE,0.9987708926200868
207,href hahahah,NEGATIVE,0.9537079334259032
208,lol i39m seriously second thoughts ever trying meth,POSITIVE,0.95584374666214
209,kangaroo disease common dogs also happens animals like kangaroo,NEGATIVE,0.9689555764198304
210,lol href,NEGATIVE,0.9921403527259828
211,who39s funnier spoken reasons aka askin questionsbror raywilliamjohnson,NEGATIVE,0.9514621496200562
212,6 likes xd,POSITIVE,0.8583472371101379
213,lol sheer terror guy39s eye,NEGATIVE,0.9258247017860411
214,lol arkansas game fish i39m pretty sure i39ve highway that39s another day,NEGATIVE,0.9936487078666688
215,ray love don39t go,POSITIVE,0.9994914531707764
216,equals 3 simble looks like face a3 penis,NEGATIVE,0.9958890080451964
217,href u sound like toddy gundarr mondomedia cartoon lol,NEGATIVE,0.9961466789245604
218,blinks hes troll00,NEGATIVE,0.959536075592041
219,isn39t wife asian,NEGATIVE,0.9701483845710754
220,2 40,POSITIVE,0.9497778415679932
221,href xd,NEGATIVE,0.9841744303703308
222,understand mr squirreleven sometimes try hide nuts inside bitch,NEGATIVE,0.6106010675430298
223,lol,NEGATIVE,0.9438178539276124
224,wasint nice,POSITIVE,0.9990645051002502
225,hodgekangaroo,NEGATIVE,0.9952129125595092
226,squirrel xd,NEGATIVE,0.8291239142417908
227,xd squirrel,POSITIVE,0.9871151447296144
228,supposed funnybrbr,NEGATIVE,0.999242067337036
229,even 4 cats,NEGATIVE,0.854931116104126
230,u don39t drugs,NEGATIVE,0.9004197716712952
231,href hiding nuts lol,NEGATIVE,0.998325526714325
232,omg ray funny bro lol,NEGATIVE,0.9764466285705566
233,wish buff man hes big,NEGATIVE,0.9670814871788024
234,love show,POSITIVE,0.999881148338318
235,fukn funny,NEGATIVE,0.966249704360962
236,href,NEGATIVE,0.9973445534706116
237,would actually surprised game wardens deal aside standard fishing without permit,POSITIVE,0.5829370617866516
238,fuck cop tell look,NEGATIVE,0.9984772801399232
239,meth head tom cruise,NEGATIVE,0.9906558394432068
240,nuff said,NEGATIVE,0.9763475060462952
241,gawd went ending credits finger pause button ha ha ha ha anna fluffer darth vader electrics gotta check credits,NEGATIVE,0.9963654279708862
242,lack kangaroo jacked jokes made sad xd,NEGATIVE,0.9981624484062196
243,oh god end come favorite line 3 history xd never laughed hard,POSITIVE,0.990529239177704
244,video sucking,NEGATIVE,0.9984082579612732
245,genetically selective breeding kangaroo,NEGATIVE,0.9617729783058168
246,live arkansas,POSITIVE,0.866658091545105
247,kangaroo jacked,NEGATIVE,0.9973809123039246
248,sexy,POSITIVE,0.9998664855957032
249,i39m ausrtalian love animals kangaroo insane zoo rock ray,POSITIVE,0.8168380856513977
250,awsome video,NEGATIVE,0.9940696954727172
251,guy kangaroo video sounds like deluxe4,NEGATIVE,0.970371663570404
252,hilarious loved,POSITIVE,0.9998883008956908
253,love,POSITIVE,0.99987530708313
254,hate ray william johnson anything says makes want commit murder bri honestly want understand get upset,POSITIVE,0.6707119345664978
255,four cats,POSITIVE,0.9690380692481996
256,arkansas,POSITIVE,0.996484398841858
257,i39m reading comments one talking meth head reason face freaked,NEGATIVE,0.9993798732757568
258,kangaroo looks misunderstood wanna give hug plus humans sound like stereotypical stupid zoo goers,NEGATIVE,0.97775536775589
259,i39m love,POSITIVE,0.9998313188552856
260,3456,POSITIVE,0.8329236507415771
261,lol href href it39s funny cause 4 cats that39s exactly do39facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy,NEGATIVE,0.983424723148346
262,meth head looked like didn39t know happening,NEGATIVE,0.999151349067688
263,even imagine bad trip get cops shows sure see eyes,NEGATIVE,0.9957242012023926
264,omg uploaded birthday,NEGATIVE,0.9768586754798888
265,bring back music videos,POSITIVE,0.9984917640686036
266,guess jack hasbputs sunglasses onb jacked much,POSITIVE,0.8891347646713257
267,u even lift,NEGATIVE,0.9910597205162048
268,well actually it39s likely kangaroo low amount myostatin protien limits muscle growth it39s blood also evident many animals blue cattle dogs could wrong probable reason kangaroo like look watch asapscience video quotthe scientific secret strength muscle growthquot,NEGATIVE,0.9921730756759644
269,look limbs way positioning natural rare genetic disease see probably,NEGATIVE,0.999039590358734
270,,POSITIVE,0.6957932114601135
271,australia39s kangaroos,POSITIVE,0.9131946563720704
272,href face omfg can39t facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyOKhandwavinghand,NEGATIVE,0.9845640659332277
273,dat roo,NEGATIVE,0.976466417312622
274,wow can39t believe guy39s still unfunny videos getting away huge pile money process,NEGATIVE,0.9988025426864624
275,u say gaymen fish commision,NEGATIVE,0.9981585144996644
276,kanga oh roo nvm,NEGATIVE,0.9985132813453674
277,awesome like game xd,POSITIVE,0.9998642206192015
278,lol bunking kangaroo,NEGATIVE,0.9850503206253052
279,haha kangaroo jacked anyone ok,NEGATIVE,0.9994749426841736
280,always starts episodes walking camera notingbrlol,POSITIVE,0.9547756314277648
281,flexin39 ya,POSITIVE,0.9825257062911988
282,steroids,NEGATIVE,0.9788522124290466
283,dat kangaroo making kindz gainz kindz,NEGATIVE,0.9630037546157836
284,even fuck,NEGATIVE,0.9880318641662598
285,cop stupidi understand force attacking put gun sake seems stupid seems mad thats,NEGATIVE,0.999099612236023
286,anyone fuck give subject kangaroo likely missing gdf8 gene produces protein myostatin pretty much stops muscle growth certain size without protein body reaches absurd amounts muscle mass without anything else special,NEGATIVE,0.9997801184654236
287,ray,NEGATIVE,0.9945911765098572
288,anyone else noticed stopped censoring words,NEGATIVE,0.998245120048523
289,,POSITIVE,0.9689022898674012
290,reason buff low miostatin,NEGATIVE,0.9977489113807678
291,yep 100 fart hahahaha,NEGATIVE,0.9864975810050964
292,haven39t watched one videos years hell grow beard,NEGATIVE,0.9958820343017578
293,well skippy didn39t skipp arm day,POSITIVE,0.7933084964752197
294,lol cop said quotdie motherfukerquot hilarious,POSITIVE,0.9994971752166748
295,reason kangaroos buff climb trees lot,NEGATIVE,0.8856387138366699
296,crack head,NEGATIVE,0.6714558601379395
297,poor dog disappointment eyes,NEGATIVE,0.999394416809082
298,subscribe sub back,POSITIVE,0.5101425647735596
299,stop walking towards camera every scene goddamit,NEGATIVE,0.999009132385254
300,shiet,NEGATIVE,0.9721943140029908
301,jesse pinkman,POSITIVE,0.9993477463722228
302,ok mixed kangaroo food steriods,NEGATIVE,0.9854492545127868
303,american cops crazy,NEGATIVE,0.9689493179321288
304,koalas arnt bears,NEGATIVE,0.8774871826171875
305,darth vader xd,POSITIVE,0.9823585152626038
306,obama youtube channel say,NEGATIVE,0.926251232624054
307,he39ll fuck,NEGATIVE,0.8062646389007568
308,shave u look like bum,NEGATIVE,0.9994274377822876
309,squirrel got nuts deep dog brthat one obvious ray still didn39t go,NEGATIVE,0.9933629035949708
310,hey it39s kangaroo jacked,POSITIVE,0.6974806189537048
311,squaids,NEGATIVE,0.9943476319313048
312,think censorship made u video boyish man keep swearings coming dd,NEGATIVE,0.9989888072013856
313,even fuck bruh,NEGATIVE,0.99614679813385
314,ray make tshirt kangaroo put quotdo even lift broquot yes yes,NEGATIVE,0.9807366132736206
315,hey hoodie,POSITIVE,0.93242746591568
316,know kangaroo name joey asshole bit sues,NEGATIVE,0.9980356097221376
317,breaking bad based real drug lord,NEGATIVE,0.944091796875
318,reason feel bad man shamed publicly camera also keeps cops line,POSITIVE,0.9968758821487428
319,video escalated quickly went buff kangaroo cute dog squirrel dude shooting dudegrate vid xd,NEGATIVE,0.9874441027641296
320,retire favourite martian ray,NEGATIVE,0.998819887638092
321,ray please help know i39ve writing videos it39s it39s important i39m trying get attention please help,POSITIVE,0.9676905274391174
322,4 cats,POSITIVE,0.9826656579971312
323,href heres dildo,NEGATIVE,0.9797092080116272
324,yeah href fart omg yes,NEGATIVE,0.9799973964691162
325,fuck u 4 cats,NEGATIVE,0.9962291121482848
326,quoti39ll rekt u m8quot,NEGATIVE,0.9931422472000122
327,enjoy ties,POSITIVE,0.9998749494552612
328,href dat cat impression tho,NEGATIVE,0.9950631260871888
329,lol,NEGATIVE,0.9438178539276124
330,href breaking wind xd,NEGATIVE,0.9698346257209778
331,nan,POSITIVE,0.7481210231781006
332,awesome episode,POSITIVE,0.9998706579208374
333,shave nasty uneven beard starting look dirtier usual ray,NEGATIVE,0.9964107871055604
334,kangaroo jacked,NEGATIVE,0.949476718902588
335,please look first video laugh bb offbrthe guy hit named mike saying last name playing game basically hacky sack small dodge ball three reflection catch ball throw somebody get hit three times go wall person hit third time gets,POSITIVE,0.6285510063171387
336,raysyndrom dont watch videos like 1 month find watched newest weird i39ve like 2 years,NEGATIVE,0.9804136157035828
337,make day,POSITIVE,0.99973863363266
338,lol,NEGATIVE,0.9438178539276124
339,comments possible,NEGATIVE,0.989788055419922
340,love videos hahahah,POSITIVE,0.9996196031570436
341,what39s quotspot mequot joke wrong wanting safe,NEGATIVE,0.9989560842514038
342,href ray sounds like dirt bike,NEGATIVE,0.99845290184021
343,jessie hot,POSITIVE,0.9973010420799256
344,trt,POSITIVE,0.5109264254570007
345,proud become johnson,POSITIVE,0.9998427629470824
346,get vitaly show,POSITIVE,0.991332471370697
347,kangaroo something called myostatin deficiency myostatin protein inhibits growth muscle individuals animals lack protein literally build muscle top muscle first time saw example thought photoshopped,NEGATIVE,0.9980964064598083
348,man looks 45,NEGATIVE,0.8630504012107849
349,like chicken,NEGATIVE,0.8432941436767578
350,omg laughed hard,POSITIVE,0.9814565181732178
351,lol ending funny,POSITIVE,0.9996562004089355
352,squirrel should39ve hid nuts dog39s ass one would ever look,NEGATIVE,0.9990837574005128
353,he39skangaroo jacked,NEGATIVE,0.9927151799201964
354,encase you39re wondering reason kangaroo buff animals either low amounts entire deletions myostatin determines much muscle mass,NEGATIVE,0.9985502362251282
355,okay dont speak dont show face show videos speak dont scream man egh,NEGATIVE,0.989504098892212
356,pet squirrel cute,POSITIVE,0.9953908920288086
357,1st preparing nopes,NEGATIVE,0.9925922155380248
358,remember censored vids times,NEGATIVE,0.9988621473312378
359,kangaroo jacked,NEGATIVE,0.994191348552704
360,food food food u dinner,NEGATIVE,0.9612937569618224
361,koalas part bear family,NEGATIVE,0.99338561296463
362,love videos lose beard dont cover shayna punim p,NEGATIVE,0.9819813370704652
363,want kangaroo pet,NEGATIVE,0.984259307384491
364,squirrel murderers,NEGATIVE,0.998507559299469
365,live arkansas,POSITIVE,0.968900203704834
366,href,NEGATIVE,0.9819052219390868
367,meth even nigga,NEGATIVE,0.9118470549583436
368,ur cats sound like hondas,NEGATIVE,0.9776175618171692
369,bleebs,NEGATIVE,0.9309991002082824
370,found kangaroo roger tekken,NEGATIVE,0.7416874766349792
371,wow write,POSITIVE,0.8444600105285645
372,seen sexy lumberjack mirror lately,POSITIVE,0.945949137210846
373,wo pig sooie,POSITIVE,0.8936134576797485
374,da fuk swear kangaroos abs abs abs abs well get picture,POSITIVE,0.996190071105957
375,really people still call koalas koala bears live australia said i39d ether dreaming crack,NEGATIVE,0.9878437519073486
376,oh look meth head unkel,NEGATIVE,0.9841383099555968
377,moment href,NEGATIVE,0.9677533507347108
378,arkansas they39ll f,POSITIVE,0.9995681643486024
379,ending soon wtf,NEGATIVE,0.9983093738555908
380,dat kangaroo looks like roger jr tekken,NEGATIVE,0.9908872842788696
381,lol,NEGATIVE,0.9438178539276124
382,dont end series,NEGATIVE,0.983237087726593
383,href,NEGATIVE,0.9815596342086792
384,remember seeing arrest happen funny seeing,POSITIVE,0.9985443353652954
385,squirrels forget bury nutsgrey squirrels forget 50 time kind nature39s way planting trees,NEGATIVE,0.99901020526886
386,squirrel,POSITIVE,0.993285059928894
387,lol,NEGATIVE,0.9438178539276124
388,kangaroo prob mutation,NEGATIVE,0.9938032627105712
389,looks like today39s subject animalsbr,POSITIVE,0.9729560613632202
390,wha got 4 cats crazy cat lady ray,NEGATIVE,0.9908349514007568
391,hey pet squirrel injured took care itbr,POSITIVE,0.7505830526351929
392,kangaroo eat kababs,NEGATIVE,0.9446797370910645
393,equals three,POSITIVE,0.9792724251747132
394,hehehehehe arkansas place don39t play,NEGATIVE,0.9576713442802428
395,href quotfirst associate chief exorcisms big robquot,NEGATIVE,0.9915238618850708
396,href hekangaroo jacked get,NEGATIVE,0.9967923760414124
397,fing love squirrel ur funny ray,POSITIVE,0.9995781779289246
398,fritos sub,NEGATIVE,0.990131974220276
399,353 dat face fish,NEGATIVE,0.995605766773224
400,dont whay,NEGATIVE,0.9935077428817748
401,im much sorry thet man,NEGATIVE,0.9996906518936156
402,end video perfect,POSITIVE,0.9998798370361328
403,freaking shows don39t come enough seriously way badass one week,NEGATIVE,0.998290717601776
404,difference rwj 2 years ago 2 years ago try laugh it39s try find excuse laugh,NEGATIVE,0.999076008796692
405,beard that39s say,NEGATIVE,0.9909934401512146
406,everyone stop watching rays channels really uhsay hussain found recently im saying,NEGATIVE,0.9887219667434692
407,stupid hobo,NEGATIVE,0.9997782111167908
408,funny omg,POSITIVE,0.999816358089447
409,even fuck bruh nice,POSITIVE,0.7527754902839661
410,kangaroo roids vs mike tyson,NEGATIVE,0.6415978074073792
411,breed dog 2nd video,NEGATIVE,0.9968247413635254
412,testing things added,POSITIVE,0.990626573562622
413,new test added,POSITIVE,0.9815587401390076
414,testing new comment,NEGATIVE,0.8587408065795898
415,arkansas u see meth head home state,NEGATIVE,0.9009770154953004
416,don39t embarrassed little squirrel proud nuts walk around hanging like,POSITIVE,0.9997329115867616
417,fluffer anna akana ahahhahahhahahahahhaa,NEGATIVE,0.9705535769462584
418,kangaroo steroids,NEGATIVE,0.9944061040878296
